LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,T1718CAT1,T1718CAT2,T1718CAT3,T1718CAT4,T1718CAT5,T1718CAT1LA,T1718CAT2LA,T1718CAT3LA,T1718CAT4LA,T1718CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PT1718CAT1,PT1718CAT2,PT1718CAT3,PT1718CAT4,PT1718CAT5,PT1718CAT1LA,PT1718CAT2LA,PT1718CAT3LA,PT1718CAT4LA,PT1718CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
811,133480,Non-London,Primary,408,23.2,Medium,"4,894",56,"4,949","2,039",102,"1,028",1,"1,086",4,257,0,188,56,69,147,"4,977",SUPP,75,841,0,"4,701","3,225",132,326,70,"4,746","3,013",114,917,0,"4,780","3,162",113,289,77,"4,729","3,044",101,984,0,"4,800","3,181",132,369,69,"4,930","3,072",71,"1,076",0,"4,861","3,176",126,"4,948",996,0,"3,068",102,"1,086",0,"4,977","3,252",173,56,"1,028",0,NA,27,245,0,276,99%,1%,41%,2%,21%,0%,22%,0%,5%,0%,4%,1%,1%,3%,66%,2%,18%,0%,100%,NA,NA,NA,NA,NA,63%,2%,19%,0%,100%,NA,NA,NA,NA,NA,63%,2%,0%,3%,100%,NA,NA,NA,NA,NA,63%,1%,22%,0%,100%,NA,NA,NA,NA,NA,62%,2%,22%,0%,100%,NA,NA,NA,NA,NA,-4%,0%,4%,0%,0%
811,133481,Non-London,Primary,212,7.1,Low,"4,031",339,"4,370","2,133",51,702,329,366,161,210,64,182,68,75,158,"4,499",SUPP,42,293,61,"3,625","2,773",119,321,71,"4,137","2,572",52,321,65,"3,929","2,853",122,253,72,"4,421",SUPP,98,321,66,"4,115","2,911",105,337,67,"4,493","2,848",100,362,61,"4,466","2,976",114,"4,506",722,61,"2,835",51,366,64,"4,499","3,054",115,313,702,64,NA,9,73,3,874,92%,8%,47%,1%,16%,7%,8%,4%,5%,1%,4%,2%,2%,4%,SUPP,1%,8%,2%,100%,NA,NA,NA,NA,NA,65%,1%,8%,2%,100%,NA,NA,NA,NA,NA,63%,2%,3%,3%,100%,NA,NA,NA,NA,NA,64%,2%,8%,1%,100%,NA,NA,NA,NA,NA,63%,1%,8%,1%,100%,NA,NA,NA,NA,NA,NA,0%,0%,-1%,0%
811,133519,Non-London,Primary,65,38.5,High,"6,749",87,"6,836","2,621",634,"1,252",399,676,252,194,123,132,101,357,245,"6,988",SUPP,338,678,122,"6,068","3,225",132,326,70,"4,746",SUPP,244,799,SUPP,"6,713","3,162",113,289,77,"4,729","5,003",290,"1,024",183,"8,990","3,181",132,369,69,"4,930","5,050",320,967,146,"8,660","3,176",126,"7,906","1,506",146,"3,874",634,676,123,"6,988","3,442",208,130,"1,252",123,NA,296,-2,1,920,99%,1%,38%,9%,18%,6%,10%,4%,3%,2%,2%,1%,5%,4%,SUPP,6%,11%,2%,100%,NA,NA,NA,NA,NA,SUPP,4%,12%,SUPP,100%,NA,NA,NA,NA,NA,55%,3%,3%,4%,100%,NA,NA,NA,NA,NA,58%,4%,11%,2%,100%,NA,NA,NA,NA,NA,55%,9%,10%,2%,100%,NA,NA,NA,NA,NA,NA,3%,-1%,0%,0%
811,135700,Non-London,Primary,384,43.1,High,"4,656",212,"4,868","2,149",208,855,313,293,206,128,135,163,53,128,101,"4,731","3,059",151,315,190,"4,837","3,522",95,843,0,"5,114","3,456",104,351,210,"5,432","3,661",78,244,105,"5,523","3,381",117,368,172,"5,291","3,690",97,694,86,"5,737","3,229",201,347,138,"5,170","3,521",131,"5,167",848,138,"3,003",208,293,135,"4,731","3,442",208,232,855,135,-56,57,-22,-55,-106,96%,4%,45%,4%,18%,7%,6%,4%,3%,3%,3%,1%,3%,2%,63%,3%,7%,4%,100%,NA,NA,NA,NA,NA,64%,2%,6%,4%,100%,NA,NA,NA,NA,NA,64%,2%,4%,3%,100%,NA,NA,NA,NA,NA,62%,4%,7%,3%,100%,NA,NA,NA,NA,NA,63%,4%,6%,3%,100%,NA,NA,NA,NA,NA,0%,1%,-1%,-1%,0%
811,117823,Non-London,Primary,129,18.1,Low,"5,053",219,"5,273","2,298",113,823,293,463,209,149,96,347,40,134,156,"5,122","3,137",177,415,110,"4,787","2,773",119,321,71,"4,137","3,426",233,505,100,"5,344","2,853",122,253,72,"4,421",SUPP,166,505,86,"5,045","3,181",132,369,69,"4,930","3,152",165,489,86,"5,039","3,176",126,"4,710",843,86,"3,122",113,463,96,"5,122","3,054",115,79,823,96,-15,-64,48,-14,335,96%,4%,45%,2%,16%,6%,9%,4%,3%,2%,7%,1%,3%,3%,66%,4%,9%,2%,100%,NA,NA,NA,NA,NA,64%,4%,9%,2%,100%,NA,NA,NA,NA,NA,64%,3%,4%,2%,100%,NA,NA,NA,NA,NA,63%,3%,10%,2%,100%,NA,NA,NA,NA,NA,61%,2%,9%,2%,100%,NA,NA,NA,NA,NA,-5%,-2%,0%,0%,0%
811,117824,Non-London,Primary,48,0,Low,"7,476",173,"7,649","2,984",229,"1,369",375,849,217,573,71,248,51,258,143,"7,366","2,801",174,571,47,"4,445","2,773",119,321,71,"4,137",SUPP,302,747,SUPP,"6,119","2,853",122,253,72,"4,421",SUPP,199,548,50,"5,984","2,911",105,337,67,"4,493","3,198",248,606,46,"5,931","2,976",114,"6,130",938,46,"4,353",229,849,71,"7,366","3,054",115,249,"1,369",71,"1,552",55,278,24,"2,921",98%,2%,41%,3%,19%,5%,12%,3%,8%,1%,3%,1%,4%,2%,SUPP,4%,13%,1%,100%,NA,NA,NA,NA,NA,SUPP,5%,12%,SUPP,100%,NA,NA,NA,NA,NA,53%,3%,2%,5%,100%,NA,NA,NA,NA,NA,54%,4%,10%,1%,100%,NA,NA,NA,NA,NA,59%,3%,12%,1%,100%,NA,NA,NA,NA,NA,NA,-1%,-1%,0%,0%
811,117825,Non-London,Primary,82,14.9,Low,"6,713",92,"6,805","3,114",23,"1,278",279,687,252,259,87,133,123,78,304,"6,617","3,472",80,479,79,"5,172","2,773",119,321,71,"4,137",SUPP,48,429,65,"4,753","2,853",122,253,72,"4,421","3,175",51,477,62,"5,173","2,911",105,337,67,"4,493","3,204",261,475,51,"5,144","2,976",114,"5,205","1,151",51,"4,392",23,687,87,"6,617","3,054",115,158,"1,278",87,920,-57,208,8,"1,445",99%,1%,47%,0%,19%,4%,10%,4%,4%,1%,2%,2%,1%,5%,SUPP,2%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,1%,9%,1%,100%,NA,NA,NA,NA,NA,61%,1%,3%,3%,100%,NA,NA,NA,NA,NA,62%,5%,9%,1%,100%,NA,NA,NA,NA,NA,66%,0%,10%,1%,100%,NA,NA,NA,NA,NA,NA,-2%,1%,-1%,0%
811,117827,Non-London,Primary,325,27.1,Medium,"4,406",106,"4,512","2,047",207,771,244,312,250,155,83,151,33,67,111,"4,430","2,694",210,307,65,"4,223","3,225",132,326,70,"4,746","2,770",216,322,80,"4,407","3,162",113,289,77,"4,729","2,760",145,318,70,"4,364","3,181",132,369,69,"4,930","2,751",132,317,62,"4,281","3,176",126,"4,175",816,62,"2,817",207,312,83,"4,430","3,252",173,122,771,83,123,-3,5,18,207,98%,2%,46%,5%,17%,5%,7%,6%,4%,2%,3%,1%,2%,3%,64%,5%,7%,2%,100%,NA,NA,NA,NA,NA,63%,5%,7%,2%,100%,NA,NA,NA,NA,NA,64%,3%,6%,4%,100%,NA,NA,NA,NA,NA,64%,3%,7%,1%,100%,NA,NA,NA,NA,NA,64%,5%,7%,2%,100%,NA,NA,NA,NA,NA,0%,0%,0%,0%,0%
811,117829,Non-London,Primary,232,7,Low,"4,340",154,"4,494","1,917",160,858,347,385,156,266,79,147,34,155,119,"4,622","2,523",81,257,83,"3,828","2,773",119,321,71,"4,137","2,532",230,270,76,"4,060","2,853",122,253,72,"4,421","2,765",118,327,83,"4,426","2,911",105,337,67,"4,493","2,435",107,315,62,"3,826","2,976",114,"3,992",743,62,"2,775",160,385,79,"4,622","3,054",115,86,858,79,252,79,128,-4,794,97%,3%,41%,3%,19%,8%,8%,3%,6%,2%,3%,1%,3%,3%,66%,2%,7%,2%,100%,NA,NA,NA,NA,NA,62%,6%,7%,2%,100%,NA,NA,NA,NA,NA,62%,3%,3%,4%,100%,NA,NA,NA,NA,NA,64%,3%,8%,2%,100%,NA,NA,NA,NA,NA,60%,3%,8%,2%,100%,NA,NA,NA,NA,NA,-6%,1%,1%,0%,0%
811,117830,Non-London,Primary,67,9,Low,"5,569",155,"5,724","2,565",130,"1,388",320,493,166,79,87,394,98,84,134,"5,936","3,765",52,410,107,"5,338","2,773",119,321,71,"4,137",SUPP,82,503,101,"5,910","2,853",122,253,72,"4,421","3,686",38,472,68,"5,757","2,911",105,337,67,"4,493","4,071",60,497,85,"6,136","2,976",114,"6,080","1,426",85,"3,952",130,493,87,"5,936","3,054",115,237,"1,388",87,187,78,83,-20,598,97%,3%,43%,2%,23%,5%,8%,3%,1%,1%,7%,2%,1%,2%,SUPP,1%,8%,2%,100%,NA,NA,NA,NA,NA,SUPP,1%,9%,2%,100%,NA,NA,NA,NA,NA,64%,1%,4%,10%,100%,NA,NA,NA,NA,NA,66%,1%,8%,1%,100%,NA,NA,NA,NA,NA,67%,2%,8%,1%,100%,NA,NA,NA,NA,NA,NA,1%,0%,-1%,0%
