LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1213CAT1,T1213CAT2,T1213CAT3,T1213CAT4,T1213CAT5,T1213CAT1LA,T1213CAT2LA,T1213CAT3LA,T1213CAT4LA,T1213CAT5LA,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1213CAT1,PT1213CAT2,PT1213CAT3,PT1213CAT4,PT1213CAT5,PT1213CAT1LA,PT1213CAT2LA,PT1213CAT3LA,PT1213CAT4LA,PT1213CAT5LA,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
811,134741,Non-London,Primary,220,18.2,Low,"4,518",156,"4,674","2,019",65,910,292,268,133,202,25,152,75,114,178,"4,432",2884,329,264,77,4498,2795,119,314,71,4143,3115,178,293,64,4686,2773,119,321,71,4137,"3,292",131,311,81,"4,868","2,853",122,253,72,"4,421","3,000",61,319,71,"4,576","2,911",105,337,67,"4,493",2929,65,268,25,4432,"2,976",114,4674,910,25,45,-264,4,-52,-66,97%,3%,46%,1%,21%,7%,6%,3%,5%,1%,3%,2%,3%,4%,64%,7%,6%,2%,100%,NA,NA,NA,NA,NA,66%,4%,6%,1%,100%,NA,NA,NA,NA,NA,68%,3%,6%,2%,100%,NA,NA,NA,NA,NA,66%,1%,2%,2%,100%,NA,NA,NA,NA,NA,66%,1%,6%,1%,100%,NA,NA,NA,NA,NA,2%,-6%,0%,-1%,0%
811,118075,Non-London,Secondary with KS4,698,22.2,Medium,"5,889",26,"5,915","3,020",164,914,352,511,92,127,117,310,35,28,252,"5,922",3675,97,507,177,6102,3437,98,417,137,5215,3833,60,590,188,6183,3501,89,400,126,5156,"3,983",161,578,169,"6,243","4,053",142,221,90,"6,453","3,976",199,545,129,"6,271","4,055",176,960,60,"6,401",3934,164,511,117,5922,"4,321",177,5915,914,117,259,67,4,-60,-180,100%,0%,51%,3%,15%,6%,9%,2%,2%,2%,5%,1%,0%,4%,60%,2%,8%,3%,100%,NA,NA,NA,NA,NA,62%,1%,10%,3%,100%,NA,NA,NA,NA,NA,64%,3%,9%,3%,100%,NA,NA,NA,NA,NA,63%,3%,1%,4%,100%,NA,NA,NA,NA,NA,66%,3%,9%,2%,100%,NA,NA,NA,NA,NA,6%,1%,1%,-1%,0%
811,118120,Non-London,Primary,107,7.7,Low,"4,807",365,"5,172","2,053",117,"1,076",297,435,290,287,95,146,28,121,61,"5,005",2987,217,515,186,4974,2795,119,314,71,4143,3160,189,478,146,5198,2773,119,321,71,4137,"3,207",170,450,145,"5,664","2,853",122,253,72,"4,421","3,105",110,437,110,"5,408","2,911",105,337,67,"4,493",3128,117,435,95,5005,"2,976",114,5172,1076,95,141,-100,-80,-91,31,93%,7%,41%,2%,21%,6%,9%,6%,6%,2%,3%,1%,2%,1%,60%,4%,10%,4%,100%,NA,NA,NA,NA,NA,61%,4%,9%,3%,100%,NA,NA,NA,NA,NA,57%,3%,8%,3%,100%,NA,NA,NA,NA,NA,58%,2%,5%,4%,100%,NA,NA,NA,NA,NA,63%,2%,9%,2%,100%,NA,NA,NA,NA,NA,3%,-2%,-1%,-2%,0%
811,118121,Non-London,Primary,198,11.7,Low,"3,767",21,"3,788","1,997",61,591,216,208,307,122,30,52,74,27,45,"3,730",2828,89,201,50,3758,2795,119,314,71,4143,3043,69,245,46,4137,2773,119,321,71,4137,"2,995",78,235,49,"4,183","2,853",122,253,72,"4,421","2,851",84,214,42,"4,046","2,911",105,337,67,"4,493",2588,61,208,30,3730,"2,976",114,3788,591,30,-240,-28,7,-20,-28,99%,1%,54%,2%,16%,6%,6%,8%,3%,1%,1%,2%,1%,1%,75%,2%,5%,1%,100%,NA,NA,NA,NA,NA,74%,2%,6%,1%,100%,NA,NA,NA,NA,NA,72%,2%,6%,1%,100%,NA,NA,NA,NA,NA,71%,2%,6%,1%,100%,NA,NA,NA,NA,NA,69%,2%,6%,1%,100%,NA,NA,NA,NA,NA,-6%,0%,1%,0%,0%
811,118122,Non-London,Primary,108,4.1,Low,"4,369",317,"4,686","2,061",142,872,184,487,203,221,51,259,76,190,48,"4,795",3041,113,512,64,4542,2795,119,314,71,4143,2887,115,460,68,4337,2773,119,321,71,4137,"2,836",73,430,40,"4,604","2,853",122,253,72,"4,421","3,067",111,453,56,"4,686","2,911",105,337,67,"4,493",2933,142,487,51,4795,"2,976",114,4686,872,51,-108,29,-25,-13,253,93%,7%,43%,3%,18%,4%,10%,4%,5%,1%,5%,2%,4%,1%,67%,2%,11%,1%,100%,NA,NA,NA,NA,NA,67%,3%,11%,2%,100%,NA,NA,NA,NA,NA,62%,2%,9%,1%,100%,NA,NA,NA,NA,NA,65%,2%,4%,4%,100%,NA,NA,NA,NA,NA,61%,3%,10%,1%,100%,NA,NA,NA,NA,NA,-6%,1%,-1%,0%,0%
811,118148,Non-London,Special,88,29.5,Medium,"17,259",267,"17,525","7,227",479,"6,135",553,923,292,509,146,720,130,748,116,"17,980",10688,274,821,177,14217,12845,274,984,636,23712,11149,357,826,149,14794,13302,357,982,669,24700,"12,105",275,925,219,"16,492","13,614",275,806,219,"23,066","12,025",266,948,145,"16,308","13,444",266,"1,049",258,"23,744",13362,479,923,146,17980,"14,763",308,17525,6135,146,2674,205,102,-31,3763,98%,2%,40%,3%,34%,3%,5%,2%,3%,1%,4%,1%,4%,1%,75%,2%,6%,1%,100%,NA,NA,NA,NA,NA,75%,2%,6%,1%,100%,NA,NA,NA,NA,NA,73%,2%,6%,1%,100%,NA,NA,NA,NA,NA,74%,2%,1%,4%,100%,NA,NA,NA,NA,NA,74%,3%,5%,1%,100%,NA,NA,NA,NA,NA,-1%,1%,-1%,0%,0%
811,118072,Non-London,Secondary with KS4,800,5.3,Low,"4,816",148,"4,964","2,805",188,571,297,345,22,60,73,189,68,80,261,"4,959",3258,78,302,78,5060,3437,98,417,137,5215,3443,139,371,88,5103,3501,89,400,126,5156,"3,706",98,380,88,"5,333","3,550",144,308,106,"5,305","3,454",146,325,80,"4,931","3,600",122,402,101,"5,336",3376,188,345,73,4959,"3,600",116,4964,571,73,118,110,43,-5,-101,97%,3%,57%,4%,12%,6%,7%,0%,1%,1%,4%,1%,2%,5%,64%,2%,6%,2%,100%,NA,NA,NA,NA,NA,67%,3%,7%,2%,100%,NA,NA,NA,NA,NA,69%,2%,7%,2%,100%,NA,NA,NA,NA,NA,70%,3%,0%,4%,100%,NA,NA,NA,NA,NA,68%,4%,7%,1%,100%,NA,NA,NA,NA,NA,4%,2%,1%,-1%,0%
811,118073,Non-London,Secondary with KS4,1197,10,Low,"4,990",208,"5,198","3,089",163,555,253,413,18,64,113,217,31,73,344,"5,334",3516,98,461,153,5371,3437,98,417,137,5215,3662,92,439,172,5525,3501,89,400,126,5156,"3,533",123,387,114,"5,276","3,550",144,308,106,"5,305","3,646",117,415,112,"5,387","3,600",122,402,101,"5,336",3644,163,413,113,5334,"3,600",116,5198,555,113,128,65,-48,-40,-37,96%,4%,58%,3%,10%,5%,8%,0%,1%,2%,4%,1%,1%,6%,65%,2%,9%,3%,100%,NA,NA,NA,NA,NA,66%,2%,8%,3%,100%,NA,NA,NA,NA,NA,67%,2%,7%,2%,100%,NA,NA,NA,NA,NA,68%,2%,1%,5%,100%,NA,NA,NA,NA,NA,68%,3%,8%,2%,100%,NA,NA,NA,NA,NA,3%,1%,-1%,-1%,0%
811,118111,Non-London,Secondary with KS4,911,27.3,Medium,"6,903",97,"7,000","3,920",189,789,31,"1,442",5,55,5,347,128,37,269,"7,219",4170,150,1196,9,6706,4170,150,1196,9,6706,4217,134,1374,11,6822,4217,134,1374,11,6822,"4,122",122,"1,442",10,"6,663","4,053",142,221,90,"6,453","4,134",153,"1,374",-10,"6,530","4,055",176,960,60,"6,401",4710,189,1442,5,7219,"4,321",177,7000,789,5,540,39,246,-4,513,99%,1%,54%,3%,11%,0%,20%,0%,1%,0%,5%,2%,1%,4%,62%,2%,18%,0%,100%,NA,NA,NA,NA,NA,62%,2%,20%,0%,100%,NA,NA,NA,NA,NA,62%,2%,22%,0%,100%,NA,NA,NA,NA,NA,63%,2%,0%,6%,100%,NA,NA,NA,NA,NA,65%,3%,20%,0%,100%,NA,NA,NA,NA,NA,3%,1%,2%,0%,0%
811,118002,Non-London,Primary,165,5.5,Low,"4,475",133,"4,608","2,152",390,782,209,292,207,109,47,67,57,138,85,"4,536",2854,109,194,110,3908,2795,119,314,71,4143,2618,55,196,52,3667,2773,119,321,71,4137,SUPP,66,232,SUPP,"4,005","2,853",122,253,72,"4,421","2,762",112,247,66,"4,143","2,911",105,337,67,"4,493",2934,390,292,47,4536,"2,976",114,4608,782,47,80,281,98,-63,628,97%,3%,SUPP,9%,SUPP,5%,6%,5%,2%,1%,1%,1%,3%,2%,73%,3%,5%,3%,100%,NA,NA,NA,NA,NA,SUPP,2%,5%,1%,100%,NA,NA,NA,NA,NA,SUPP,2%,6%,SUPP,100%,NA,NA,NA,NA,NA,67%,3%,4%,2%,100%,NA,NA,NA,NA,NA,NA,9%,6%,1%,100%,NA,NA,NA,NA,NA,NA,6%,1%,-2%,0%
811,118003,Non-London,Primary,327,2.8,Low,"3,663",343,"4,006","2,021",139,442,311,282,100,81,91,97,20,118,114,"3,816",2668,75,270,88,3692,2795,119,314,71,4143,2586,42,256,83,3599,2773,119,321,71,4137,"2,532",81,269,137,"3,785","2,853",122,253,72,"4,421","2,545",76,275,158,"3,960","2,911",105,337,67,"4,493",2464,139,282,91,3816,"2,976",114,4006,442,91,-204,64,12,3,124,91%,9%,53%,4%,12%,8%,7%,3%,2%,2%,3%,1%,3%,3%,72%,2%,7%,2%,100%,NA,NA,NA,NA,NA,72%,1%,7%,2%,100%,NA,NA,NA,NA,NA,67%,2%,7%,4%,100%,NA,NA,NA,NA,NA,64%,2%,3%,4%,100%,NA,NA,NA,NA,NA,65%,4%,7%,2%,100%,NA,NA,NA,NA,NA,-7%,2%,0%,0%,0%
811,118144,Non-London,Special,107,34.2,Medium,"24,909",524,"25,433","7,228",123,"7,536","1,036","1,490",728,"5,072",356,532,238,238,139,"24,714",15281,197,1565,712,27531,12845,274,984,636,23712,14037,183,1614,669,26150,13302,357,982,669,24700,"13,614",-18,"1,350",555,"23,921","13,614",275,806,219,"23,066","13,690",255,"1,472",483,"23,914","13,444",266,"1,049",258,"23,744",14763,123,1490,356,24714,"14,763",308,25433,7536,356,-518,-74,-75,-356,-2817,98%,2%,29%,0%,30%,4%,6%,3%,21%,1%,2%,1%,1%,1%,56%,1%,6%,3%,100%,NA,NA,NA,NA,NA,54%,1%,6%,3%,100%,NA,NA,NA,NA,NA,57%,0%,6%,2%,100%,NA,NA,NA,NA,NA,57%,1%,2%,2%,100%,NA,NA,NA,NA,NA,60%,0%,6%,1%,100%,NA,NA,NA,NA,NA,4%,-1%,0%,-2%,0%
