RECTYPE,ALPHAIND,LEA,ESTAB,URN,IMD,HLE,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,URN_AC,SCHNAME_AC,OPEN_AC,NFTYPE,ICLOSE,RELDENOM,AGERANGE,CONFEXAM,TAB15,TAB1618,TOTPUPS,TPUPYEAR,TELIG,BELIG,GELIG,PBELIG,PGELIG,TKS1AVERAGE,TKS1GROUP_L,PTKS1GROUP_L,TKS1GROUP_M,PTKS1GROUP_M,TKS1GROUP_H,PTKS1GROUP_H,TKS1GROUP_NA,PTKS1GROUP_NA,TFSM6CLA1A,PTFSM6CLA1A,TNotFSM6CLA1A,PTNotFSM6CLA1A,TEALGRP2,PTEALGRP2,TMOBN,PTMOBN,TSENELSE,PSENELSE,PTRWM_EXP,PTRWM_HIGH,READPROG,READPROG_LOWER,READPROG_UPPER,READCOV,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,WRITCOV,MATPROG,MATPROG_LOWER,MATPROG_UPPER,MATCOV,PTREAD_EXP,PTREAD_HIGH,PTREAD_AT,READ_AVERAGE,PTGPS_EXP,PTGPS_HIGH,PTGPS_AT,GPS_AVERAGE,PTMAT_EXP,PTMAT_HIGH,PTMAT_AT,MAT_AVERAGE,PTWRITTA_EXP,PTWRITTA_HIGH,PTWRITTA_WTS,PTWRITTA_AD,PTSCITA_EXP,PTSCITA_AD,PTREADTA_EXP,PTREADTA_AD,PTMATTA_EXP,PTMATTA_AD,PTRWM_EXP_B,PTRWM_EXP_G,PTRWM_EXP_L,PTRWM_EXP_M,PTRWM_EXP_H,PTRWM_EXP_FSM6CLA1A,PTRWM_EXP_NotFSM6CLA1A,DIFFN_RWM_EXP,PTRWM_EXP_EAL,PTRWM_EXP_MOBN,PTRWM_HIGH_B,PTRWM_HIGH_G,PTRWM_HIGH_L,PTRWM_HIGH_M,PTRWM_HIGH_H,PTRWM_HIGH_FSM6CLA1A,PTRWM_HIGH_NotFSM6CLA1A,DIFFN_RWM_HIGH,PTRWM_HIGH_EAL,PTRWM_HIGH_MOBN,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,WRITPROG_B,WRITPROG_B_LOWER,WRITPROG_B_UPPER,WRITPROG_G,WRITPROG_G_LOWER,WRITPROG_G_UPPER,WRITPROG_L,WRITPROG_L_LOWER,WRITPROG_L_UPPER,WRITPROG_M,WRITPROG_M_LOWER,WRITPROG_M_UPPER,WRITPROG_H,WRITPROG_H_LOWER,WRITPROG_H_UPPER,WRITPROG_FSM6CLA1A,WRITPROG_FSM6CLA1A_LOWER,WRITPROG_FSM6CLA1A_UPPER,WRITPROG_NotFSM6CLA1A,WRITPROG_NotFSM6CLA1A_LOWER,WRITPROG_NotFSM6CLA1A_UPPER,DIFFN_WRITPROG,WRITPROG_EAL,WRITPROG_EAL_LOWER,WRITPROG_EAL_UPPER,WRITPROG_MOBN,WRITPROG_MOBN_LOWER,WRITPROG_MOBN_UPPER,MATPROG_B,MATPROG_B_LOWER,MATPROG_B_UPPER,MATPROG_G,MATPROG_G_LOWER,MATPROG_G_UPPER,MATPROG_L,MATPROG_L_LOWER,MATPROG_L_UPPER,MATPROG_M,MATPROG_M_LOWER,MATPROG_M_UPPER,MATPROG_H,MATPROG_H_LOWER,MATPROG_H_UPPER,MATPROG_FSM6CLA1A,MATPROG_FSM6CLA1A_LOWER,MATPROG_FSM6CLA1A_UPPER,MATPROG_NotFSM6CLA1A,MATPROG_NotFSM6CLA1A_LOWER,MATPROG_NotFSM6CLA1A_UPPER,DIFFN_MATPROG,MATPROG_EAL,MATPROG_EAL_LOWER,MATPROG_EAL_UPPER,MATPROG_MOBN,MATPROG_MOBN_LOWER,MATPROG_MOBN_UPPER,READ_AVERAGE_L,READ_AVERAGE_M,READ_AVERAGE_H,READ_AVERAGE_FSM6CLA1A,READ_AVERAGE_NotFSM6CLA1A,MAT_AVERAGE_L,MAT_AVERAGE_M,MAT_AVERAGE_H,MAT_AVERAGE_FSM6CLA1A,MAT_AVERAGE_NotFSM6CLA1A,GPS_AVERAGE_L,GPS_AVERAGE_M,GPS_AVERAGE_H,GPS_AVERAGE_FSM6CLA1A,GPS_AVERAGE_NotFSM6CLA1A,PTREAD_EXP_L,PTREAD_EXP_M,PTREAD_EXP_H,PTREAD_EXP_FSM6CLA1A,PTREAD_EXP_NotFSM6CLA1A,PTGPS_EXP_L,PTGPS_EXP_M,PTGPS_EXP_H,PTGPS_EXP_FSM6CLA1A,PTGPS_EXP_NotFSM6CLA1A,PTMAT_EXP_L,PTMAT_EXP_M,PTMAT_EXP_H,PTMAT_EXP_FSM6CLA1A,PTMAT_EXP_NotFSM6CLA1A,PTWRITTA_EXP_L,PTWRITTA_EXP_M,PTWRITTA_EXP_H,PTWRITTA_EXP_FSM6CLA1A,PTWRITTA_EXP_NotFSM6CLA1A,PTREAD_HIGH_L,PTREAD_HIGH_M,PTREAD_HIGH_H,PTREAD_HIGH_FSM6CLA1A,PTREAD_HIGH_NotFSM6CLA1A,PTGPS_HIGH_L,PTGPS_HIGH_M,PTGPS_HIGH_H,PTGPS_HIGH_FSM6CLA1A,PTGPS_HIGH_NotFSM6CLA1A,PTMAT_HIGH_L,PTMAT_HIGH_M,PTMAT_HIGH_H,PTMAT_HIGH_FSM6CLA1A,PTMAT_HIGH_NotFSM6CLA1A,PTWRITTA_HIGH_L,PTWRITTA_HIGH_M,PTWRITTA_HIGH_H,PTWRITTA_HIGH_FSM6CLA1A,PTWRITTA_HIGH_NotFSM6CLA1A,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TSENELAPK,PSENELSAPK,TSENELE,PSENELE,TSENELK,PSENELK,TSENELST,PSENELST,TSENELSAP,PSENELSAP,SENELN,PSENELN
1,764,811,2700,117823,5,3,Aldbrough Primary School,Headlands Road,Aldbrough,,Hull,HU11 4RR,0196 4527422,0,,,CY,0,Does not apply,03-Nov,R,0,0,124,12,12,7,5,58%,42%,16.9,0,0%,8,67%,4,33%,0,0%,4,33%,8,67%,1,8%,10,83%,0,0%,33%,0%,-2.5,-6.1,1.1,100%,-4,-7.6,-0.4,100%,-4.8,-7.8,-1.8,100%,67%,17%,0%,102,67%,17%,0%,102,50%,0%,0%,100,58%,8%,42%,0%,67%,0%,50%,0%,58%,0%,29%,SUPP,,13%,SUPP,SUPP,SUPP,SUPP,SUPP,40%,0%,SUPP,,0%,SUPP,SUPP,SUPP,SUPP,SUPP,0%,-3.9,-8.5,0.7,SUPP,SUPP,SUPP,NA,NA,NA,-2.7,-7,1.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-1.8,-5.7,2.1,-6.6,-11.3,-1.9,SUPP,SUPP,SUPP,NA,NA,NA,-4,-8.4,0.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-5,-8.9,-1.1,-4.3,-8.3,-0.3,SUPP,SUPP,SUPP,NA,NA,NA,-5.4,-9.1,-1.7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-4.8,-8.1,-1.5,,99,SUPP,SUPP,SUPP,,97,SUPP,SUPP,SUPP,,99,SUPP,SUPP,SUPP,,50%,SUPP,SUPP,SUPP,,50%,SUPP,SUPP,SUPP,,25%,SUPP,SUPP,SUPP,,50%,SUPP,SUPP,SUPP,,0%,SUPP,SUPP,SUPP,,0%,SUPP,SUPP,SUPP,,0%,SUPP,SUPP,SUPP,,0%,SUPP,SUPP,SUPP,11,92%,0,0%,2,17%,0,0%,2,17%,0,0%,0,0%,0,0%
1,3310,811,2701,117824,5,2,Barmby-on-the-Marsh Primary School,High Street,Barmby-on-the-Marsh,,Goole,DN14 7HQ,0175 7638336,0,,,CY,0,Does not apply,04-Nov,,0,0,67,12,12,4,8,33%,67%,15.9,1,8%,7,58%,4,33%,0,0%,0,0%,12,100%,0,0%,11,92%,1,8%,58%,0%,5,1.4,8.6,100%,-0.8,-4.4,2.8,100%,-2.7,-5.7,0.3,100%,92%,50%,0%,110,92%,17%,0%,106,67%,0%,0%,102,75%,17%,17%,0%,92%,0%,92%,0%,92%,0%,SUPP,50%,SUPP,43%,SUPP,0%,58%,-60,,55%,SUPP,0%,SUPP,0%,SUPP,0%,0%,-7,,0%,SUPP,SUPP,SUPP,7.3,3,11.6,SUPP,SUPP,SUPP,9.2,4.6,13.8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,5.3,1.6,9,SUPP,SUPP,SUPP,-0.7,-5.1,3.7,SUPP,SUPP,SUPP,-0.6,-5.3,4.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-1,-4.7,2.7,SUPP,SUPP,SUPP,-2,-5.7,1.7,SUPP,SUPP,SUPP,-0.9,-4.9,3.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-2.9,-6.1,0.3,SUPP,110,SUPP,SUPP,SUPP,SUPP,101,SUPP,SUPP,SUPP,SUPP,105,SUPP,SUPP,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,57%,SUPP,SUPP,SUPP,SUPP,71%,SUPP,SUPP,SUPP,SUPP,57%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,12,100%,0,0%,2,17%,0,0%,2,17%,1,8%,0,0%,0,0%
1,4478,811,2702,117825,4,9,Bempton Primary School,School Lane,Bempton,,Bridlington,YO15 1JA,0126 2850508,0,,,CY,0,Does not apply,03-Nov,,0,0,118,13,13,9,4,69%,31%,14.6,2,15%,8,62%,3,23%,0,0%,3,23%,10,77%,1,8%,11,85%,1,8%,31%,0%,-5.3,-8.7,-1.9,100%,2.7,-0.7,6.1,100%,-1.5,-4.4,1.4,100%,38%,0%,0%,95,54%,8%,0%,101,62%,0%,0%,99,69%,23%,31%,0%,62%,0%,69%,0%,46%,0%,33%,SUPP,SUPP,25%,SUPP,SUPP,SUPP,SUPP,SUPP,36%,0%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,0%,-5.8,-9.9,-1.7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-4,-8.3,0.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-4.7,-8.4,-1,3.3,-0.8,7.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,-2.4,6.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3.4,-0.3,7.1,-1,-4.5,2.5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.7,-4.4,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-1,-4.2,2.2,SUPP,96,SUPP,SUPP,SUPP,SUPP,100,SUPP,SUPP,SUPP,SUPP,100,SUPP,SUPP,SUPP,SUPP,38%,SUPP,SUPP,SUPP,SUPP,50%,SUPP,SUPP,SUPP,SUPP,63%,SUPP,SUPP,SUPP,SUPP,63%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,25%,SUPP,SUPP,SUPP,12,92%,0,0%,4,31%,0,0%,4,31%,1,8%,0,0%,0,0%
1,4766,811,2704,117827,2,3,Beverley St Nicholas Community Primary School,Holme Church Lane,,,Beverley,HU17 0QP,0148 2862882,0,,,CY,0,Does not apply,03-Nov,,0,0,322,45,45,21,24,47%,53%,16.8,4,9%,20,44%,21,47%,0,0%,24,53%,21,47%,1,2%,38,84%,2,4%,58%,9%,-2.3,-4.1,-0.5,100%,-1.7,-3.5,0.1,100%,-0.2,-1.8,1.4,100%,69%,27%,0%,102,76%,36%,0%,105,71%,33%,0%,104,69%,16%,31%,0%,78%,0%,73%,0%,71%,0%,43%,71%,SUPP,40%,86%,50%,67%,-10,SUPP,63%,10%,8%,SUPP,0%,19%,4%,14%,-3,SUPP,8%,-3.4,-6.1,-0.7,-1.3,-3.8,1.2,SUPP,SUPP,SUPP,-2.3,-5.1,0.5,-2.1,-4.8,0.6,-1,-3.5,1.5,-3.7,-6.4,-1,-1.3,SUPP,SUPP,SUPP,-2.3,-4.3,-0.3,-2.2,-4.9,0.5,-1.3,-3.8,1.2,SUPP,SUPP,SUPP,-3.1,-5.9,-0.3,-1.5,-4.2,1.2,-1.4,-3.9,1.1,-2.1,-4.8,0.6,-1.5,SUPP,SUPP,SUPP,-2.2,-4.2,-0.2,1.2,-1.1,3.5,-1.4,-3.5,0.7,SUPP,SUPP,SUPP,-0.4,-2.7,1.9,-1,-3.3,1.3,0,-2.1,2.1,-0.4,-2.7,1.9,-0.2,SUPP,SUPP,SUPP,-0.2,-1.9,1.5,SUPP,99,108,100,104,SUPP,102,108,102,107,SUPP,103,111,102,109,SUPP,55%,95%,63%,76%,SUPP,65%,100%,63%,90%,SUPP,65%,86%,67%,76%,SUPP,55%,95%,54%,86%,SUPP,15%,43%,25%,29%,SUPP,20%,57%,29%,43%,SUPP,15%,57%,8%,62%,SUPP,0%,33%,8%,24%,44,98%,0,0%,11,24%,0,0%,11,24%,2,4%,0,0%,0,0%
1,4978,811,2706,117829,5,3,Bilton Community Primary School,School Lane,Bilton,,Hull,HU11 4EG,0148 2811342,0,,,CY,0,Does not apply,03-Nov,,0,0,272,44,44,21,23,48%,52%,16.4,1,2%,27,63%,15,35%,1,2%,5,11%,39,89%,2,5%,43,98%,0,0%,66%,11%,-0.9,-2.8,1,95%,-0.4,-2.3,1.5,98%,2.3,0.7,3.9,98%,73%,16%,0%,103,89%,27%,0%,107,98%,20%,0%,106,82%,20%,14%,0%,89%,0%,75%,0%,70%,0%,43%,87%,SUPP,52%,93%,SUPP,SUPP,SUPP,SUPP,65%,0%,22%,SUPP,0%,33%,SUPP,SUPP,SUPP,SUPP,9%,-1.6,-4.4,1.2,-0.2,-2.8,2.4,NA,NA,NA,-1.4,-3.8,1,0,-3.2,3.2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-1,-2.9,0.9,-3.1,-5.8,-0.4,2.1,-0.5,4.7,SUPP,SUPP,SUPP,-0.9,-3.3,1.5,1.2,-2,4.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.6,-2.5,1.3,2.7,0.4,5,1.9,-0.3,4.1,SUPP,SUPP,SUPP,2,0,4,2.1,-0.6,4.8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2.2,0.6,3.8,SUPP,100,109,SUPP,SUPP,SUPP,104,110,SUPP,SUPP,SUPP,105,111,SUPP,SUPP,SUPP,63%,93%,SUPP,SUPP,SUPP,85%,100%,SUPP,SUPP,SUPP,96%,100%,SUPP,SUPP,SUPP,74%,100%,SUPP,SUPP,SUPP,0%,47%,SUPP,SUPP,SUPP,11%,60%,SUPP,SUPP,SUPP,7%,47%,SUPP,SUPP,SUPP,7%,47%,SUPP,SUPP,42,95%,0,0%,2,5%,0,0%,2,5%,0,0%,0,0%,0,0%
1,6334,811,2707,117830,6,8,Boynton Primary School,Boynton,,,Bridlington,YO16 4XQ,0126 2677880,0,,,CY,0,Does not apply,04-Nov,,0,0,65,6,6,4,2,67%,33%,15.4,1,17%,5,83%,0,0%,0,0%,1,17%,5,83%,0,0%,6,100%,0,0%,33%,0%,1,-4,6,100%,-1.9,-6.9,3.1,100%,-1.5,-5.8,2.8,100%,83%,17%,0%,103,67%,0%,0%,101,50%,0%,0%,101,67%,0%,33%,0%,83%,0%,83%,0%,67%,0%,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,,33%,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,1,-4,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-1.9,-6.9,3.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-1.5,-5.8,2.8,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,,SUPP,SUPP,6,100%,0,0%,2,33%,0,0%,2,33%,0,0%,0,0%,0,0%
1,6612,811,2708,117831,2,2,Brandesburton Primary School,Main Street,Brandesburton,,Driffield,YO25 8RG,0196 4542472,0,,,CY,0,Does not apply,03-Nov,,0,0,179,23,23,15,8,65%,35%,16.5,1,4%,11,48%,11,48%,0,0%,8,35%,15,65%,0,0%,21,91%,2,9%,65%,17%,0.1,-2.5,2.7,100%,-0.3,-2.9,2.3,100%,0.6,-1.6,2.8,100%,83%,26%,0%,105,83%,26%,0%,107,74%,26%,0%,106,83%,22%,9%,0%,87%,0%,87%,0%,83%,0%,67%,63%,SUPP,55%,82%,38%,80%,-22,,71%,20%,13%,SUPP,0%,36%,13%,20%,6,,19%,-1.3,-4.5,1.9,2.8,-1.5,7.1,SUPP,SUPP,SUPP,1,-2.7,4.7,0.4,-3.3,4.1,1.8,-2.5,6.1,-0.7,-3.9,2.5,1.5,NA,NA,NA,0.5,-2.2,3.2,-0.5,-3.7,2.7,0.2,-4.2,4.6,SUPP,SUPP,SUPP,-1.4,-5.1,2.3,1.7,-2,5.4,-1.5,-5.9,2.9,0.4,-2.8,3.6,-1.6,NA,NA,NA,-0.4,-3.1,2.3,0.9,-1.8,3.6,0.1,-3.6,3.8,SUPP,SUPP,SUPP,1,-2.2,4.2,1.6,-1.6,4.8,-0.6,-4.3,3.1,1.3,-1.4,4,-0.8,NA,NA,NA,0.7,-1.6,3,SUPP,102,108,104,106,SUPP,102,109,102,108,SUPP,104,110,103,109,SUPP,82%,91%,75%,87%,SUPP,73%,100%,75%,87%,SUPP,64%,91%,50%,87%,SUPP,73%,100%,63%,93%,SUPP,9%,45%,25%,27%,SUPP,18%,36%,13%,33%,SUPP,0%,55%,25%,27%,SUPP,0%,45%,25%,20%,23,100%,0,0%,4,17%,2,9%,4,17%,0,0%,0,0%,0,0%
1,8278,811,2709,117832,8,9,Burlington Junior School,Marton Road,,,Bridlington,YO16 7AQ,0126 2674487,0,,,CY,0,Does not apply,07-Nov,,0,0,300,75,76,40,36,53%,47%,15.6,6,8%,49,64%,21,28%,0,0%,32,42%,44,58%,0,0%,73,96%,1,1%,41%,3%,-2.9,-4.3,-1.5,99%,0.6,-0.8,2,100%,-1.7,-2.9,-0.5,99%,51%,8%,1%,99,74%,16%,1%,103,61%,5%,1%,101,76%,16%,22%,0%,79%,0%,78%,0%,75%,0%,38%,44%,0%,37%,62%,34%,45%,-26,,41%,3%,3%,0%,0%,10%,0%,5%,-7,,3%,-2.6,-4.6,-0.6,-3.3,-5.4,-1.2,-2.4,-7.4,2.6,-2.7,-4.5,-0.9,-3.6,-6.3,-0.9,-4.7,-6.9,-2.5,-1.6,-3.5,0.3,-5,NA,NA,NA,-2.9,-4.3,-1.5,-0.5,-2.4,1.4,1.9,-0.2,4,0.4,-4.6,5.4,0.4,-1.4,2.2,1.2,-1.5,3.9,-0.4,-2.6,1.8,1.4,-0.5,3.3,-0.5,NA,NA,NA,0.8,-0.6,2.2,-2.1,-3.8,-0.4,-1.4,-3.1,0.3,-4.9,-9.2,-0.6,-0.9,-2.4,0.6,-2.8,-5.1,-0.5,-1.9,-3.7,-0.1,-1.6,-3.2,0,-2.1,NA,NA,NA,-1.7,-2.9,-0.5,90,98,104,97,101,89,101,105,100,101,90,102,108,102,104,0%,49%,71%,38%,61%,0%,73%,95%,72%,75%,0%,57%,86%,66%,57%,17%,76%,95%,75%,77%,0%,2%,24%,0%,14%,0%,8%,38%,16%,16%,0%,2%,14%,3%,7%,0%,6%,43%,9%,20%,75,99%,1,1%,13,17%,0,0%,13,17%,1,1%,0,0%,0,0%
1,8446,811,2715,117838,7,7,Burstwick Community Primary School,Main Street,Burstwick,,Hull,HU12 9EA,0196 4623411,0,,,CY,0,Does not apply,04-Nov,R,0,0,133,17,17,7,10,41%,59%,15.1,1,6%,13,76%,3,18%,0,0%,4,24%,13,76%,0,0%,14,82%,0,0%,12%,0%,-4.2,-7.3,-1.1,94%,0.9,-2.1,3.9,100%,-6,-8.6,-3.4,94%,24%,0%,6%,97,47%,6%,6%,100,29%,0%,6%,96,76%,6%,24%,0%,82%,0%,71%,0%,76%,0%,0%,20%,SUPP,8%,SUPP,SUPP,SUPP,SUPP,,14%,0%,0%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,,0%,-2.5,-7.5,2.5,-5.2,-9.1,-1.3,SUPP,SUPP,SUPP,-3.6,-7.2,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-4.7,-8,-1.4,1.8,-2.9,6.5,0.2,-3.7,4.1,SUPP,SUPP,SUPP,1.2,-2.2,4.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,0.5,-2.8,3.8,-4.6,-8.9,-0.3,-6.8,-10.1,-3.5,SUPP,SUPP,SUPP,-5.4,-8.4,-2.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-6.2,-9,-3.4,SUPP,96,SUPP,SUPP,SUPP,SUPP,95,SUPP,SUPP,SUPP,SUPP,99,SUPP,SUPP,SUPP,SUPP,23%,SUPP,SUPP,SUPP,SUPP,38%,SUPP,SUPP,SUPP,SUPP,15%,SUPP,SUPP,SUPP,SUPP,77%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,17,100%,0,0%,3,18%,0,0%,3,18%,0,0%,0,0%,0,0%
1,8476,811,2718,117839,7,7,Burton Pidsea Primary School,Church Street,Burton Pidsea,,Hull,HU12 9AU,0196 4670518,0,,,CY,0,Does not apply,03-Nov,,0,0,71,10,9,4,5,44%,56%,15.5,1,11%,7,78%,1,11%,0,0%,1,11%,8,89%,0,0%,8,89%,0,0%,44%,11%,0.8,-3.3,4.9,100%,2.9,-1.2,7,100%,1.1,-2.4,4.6,100%,67%,22%,0%,103,78%,11%,0%,104,78%,11%,0%,103,89%,22%,11%,0%,89%,0%,78%,0%,78%,0%,SUPP,SUPP,SUPP,43%,SUPP,SUPP,SUPP,SUPP,,38%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,,13%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.4,-5,4.2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,0.8,-3.5,5.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.8,-3.9,5.5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,1.9,-2.5,6.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.1,-3.9,4.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,1.3,-2.4,5,SUPP,102,SUPP,SUPP,SUPP,SUPP,103,SUPP,SUPP,SUPP,SUPP,103,SUPP,SUPP,SUPP,SUPP,71%,SUPP,SUPP,SUPP,SUPP,86%,SUPP,SUPP,SUPP,SUPP,86%,SUPP,SUPP,SUPP,SUPP,86%,SUPP,SUPP,SUPP,SUPP,14%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,14%,SUPP,SUPP,SUPP,9,100%,0,0%,1,11%,0,0%,1,11%,0,0%,0,0%,0,0%
